"cad_number","dup_cad_number","pd_incident_report","received_datetime","entry_datetime","dispatch_datetime","enroute_datetime","onscene_datetime","close_datetime","call_type_original","call_type_original_desc","call_type_original_notes","call_type_final","call_type_final_desc","call_type_final_notes","priority_original","priority_final","agency","disposition","onview_flag","sensitive_call","intersection_name","intersection_id","intersection_point","supervisor_district","analysis_neighborhood","police_district","data_as_of","data_updated_at","data_loaded_at","source_filename"
"250321862",,,"2025/02/01 02:50:26 PM","2025/02/01 02:50:26 PM","2025/02/01 04:05:37 PM","2025/02/01 04:05:37 PM","2025/02/01 04:17:39 PM","2025/02/01 04:18:29 PM","587","TRAF VIOLATION CITE",,"587","TRAF VIOLATION CITE","500E","C","C","Municipal Transportation Agency","NOM","N","false","EXCELSIOR AVE \ PARIS ST","21759000","POINT (-122.432053821 37.725488077)","11","Excelsior","INGLESIDE","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321770",,,"2025/02/01 02:15:50 PM","2025/02/01 02:17:43 PM","2025/02/01 04:06:19 PM","2025/02/01 04:06:19 PM","2025/02/01 04:19:55 PM","2025/02/01 04:21:13 PM","418","FIGHT NO WEAPON","LLTN","418","FIGHT NO WEAPON","LLTN","C","C","Police","UTL","N","false","16TH ST \ ALABAMA ST","24056000","POINT (-122.412416426 37.765489809)","9","Mission","MISSION","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250322000",,,"2025/02/01 03:34:00 PM","2025/02/01 03:38:21 PM","2025/02/01 04:07:12 PM","2025/02/01 04:07:12 PM","2025/02/01 04:14:23 PM","2025/02/01 04:19:25 PM","418","FIGHT NO WEAPON","601","418","FIGHT NO WEAPON","601","B","B","Police","HAN","N","false","ESMERALDA AVE \ HOLLADAY AVE","21088000","POINT (-122.406710926 37.743351789)","9","Bernal Heights","INGLESIDE","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250322077",,,"2025/02/01 04:07:39 PM","2025/02/01 04:07:39 PM","2025/02/01 04:07:39 PM","2025/02/01 04:07:39 PM","2025/02/01 04:07:39 PM","2025/02/01 04:56:21 PM","903","PASSING CALL",,"903","PASSING CALL",,"C","C","Police","HAN","Y","false","CALIFORNIA ST \ FILLMORE ST","26611000","POINT (-122.433839654 37.788906284)","2","Pacific Heights","NORTHERN","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321954",,,"2025/02/01 03:20:44 PM","2025/02/01 03:22:42 PM","2025/02/01 04:07:56 PM","2025/02/01 04:07:56 PM","2025/02/01 04:10:02 PM","2025/02/01 04:41:51 PM","409","TOW TRUCK","7.2.27","409","TOW TRUCK","7.2.27","C","C","Municipal Transportation Agency","HAN","N","false","GREENWICH ST \ STEINER ST","26765000","POINT (-122.437514361 37.798742207)","2","Marina","NORTHERN","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250322076",,,"2025/02/01 04:05:27 PM","2025/02/01 04:06:33 PM","2025/02/01 04:08:10 PM","2025/02/01 04:08:10 PM","2025/02/01 04:10:39 PM","2025/02/01 04:13:22 PM","910","WELL BEING CHECK",,"910","WELL BEING CHECK",,"A","A","Police","UTL","N","false","LARKIN ST \ OFARRELL ST","25152000","POINT (-122.41790141 37.785167215)","5","Tenderloin","NORTHERN","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250322081",,,"2025/02/01 04:09:37 PM","2025/02/01 04:09:37 PM","2025/02/01 04:09:37 PM","2025/02/01 04:09:37 PM","2025/02/01 04:09:37 PM","2025/02/01 04:13:38 PM","903","PASSING CALL",,"903","PASSING CALL",,"C","C","Police","HAN","Y","false","24TH ST \ OSAGE ALY","24089000","POINT (-122.419017543 37.752204442)","9","Mission","MISSION","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250322086",,,"2025/02/01 04:10:46 PM","2025/02/01 04:10:46 PM","2025/02/01 04:10:46 PM","2025/02/01 04:10:46 PM","2025/02/01 04:10:46 PM","2025/02/01 04:18:48 PM","520","AIDED CASE",,"520","AIDED CASE",,"C","C","Police","HAN","Y","false","MINNA ST \ SHAW ALY","24600000","POINT (-122.398020554 37.788556295)","6","Financial District/South Beach","SOUTHERN","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250322025",,,"2025/02/01 03:42:50 PM","2025/02/01 03:45:12 PM","2025/02/01 04:11:10 PM","2025/02/01 04:11:10 PM","2025/02/01 04:17:48 PM","2025/02/01 04:58:32 PM","910","WELL BEING CHECK",,"910","WELL BEING CHECK",,"B","B","Police","HAN","N","false","GEARY ST \ POLK ST","25182000","POINT (-122.419738734 37.785892901)","5","Tenderloin","NORTHERN","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
"250321792",,,"2025/02/01 02:25:17 PM","2025/02/01 02:25:17 PM","2025/02/01 04:11:22 PM","2025/02/01 04:11:22 PM","2025/02/01 04:27:52 PM","2025/02/01 05:11:21 PM","588","TRAF VIOLATION TOW",,"588","TRAF VIOLATION TOW",,"C","C","Municipal Transportation Agency","HAN","N","false","38TH AVE \ CABRILLO ST","27865000","POINT (-122.498249666 37.773799858)","1","Outer Richmond","RICHMOND","2025/02/02 04:30:04 AM","2026/01/11 05:09:17 AM","2026/01/11 05:25:04 AM","closecall2025-02-02_04-30-04.txt"
